,County,State,Price,Population
806,Livingston County,NY,211962,61516
807,Walla Walla County,WA,400621,61890
808,Stanly County,NC,266543,64153
809,Laurel County,KY,165853,62885
810,Reno County,KS,133566,61516
811,Barry County,MI,255980,63554
812,Union County,OH,368292,66898
813,Haywood County,NC,342486,62609
814,Columbia County,NY,422134,61286
815,Washington County,NY,228309,60841
816,Garfield County,CO,678765,62271
817,Eddy County,NM,200816,60400
818,Tipton County,TN,251206,61656
819,Crawford County,AR,192104,61075
820,Granville County,NC,299535,61903
821,Pittsylvania County,VA,170817,59952
822,Herkimer County,NY,173721,59822
823,Rutland County,VT,299103,60366
824,Cumberland County,TN,291591,63522
825,Hood County,TX,364749,66373
826,Bradford County,PA,185843,59866
827,Pender County,NC,426210,65737
828,Washington County,OH,181114,58901
829,Mercer County,WV,127821,58700
830,Otter Tail County,MN,309869,60519
831,Washington County,VT,387672,60048
832,Sampson County,NC,129969,59120
833,Sandusky County,OH,166663,58667
834,Otsego County,NY,198620,60636
835,Lawrence County,OH,138897,56653
836,Pike County,KY,70626,56286
837,Lowndes County,MS,161802,57603
838,Blount County,AL,217050,59512
839,Van Zandt County,TX,267280,62859
840,Kenai Peninsula Borough,AK,315843,60690
841,Russell County,AL,169007,58555
842,Lincoln County,MO,272846,63155
843,Newton County,MO,210019,60011
844,Huron County,OH,161913,58218
845,Pickaway County,OH,290014,60023
846,Genesee County,NY,194558,57535
847,Pike County,PA,276564,60558
848,Autauga County,AL,234681,59759
849,Columbia County,WI,309819,58193
850,Acadia Parish,LA,140562,56744
851,Anderson County,TX,198841,58064
852,Lyon County,NV,383741,61585
853,Carson City,NV,455816,58130
854,Oxford County,ME,297360,59495
855,Vermilion Parish,LA,163714,56952
856,Maverick County,TX,190798,57843
857,Jefferson County,WV,361538,58979
858,Windsor County,VT,410388,58142
859,Putnam County,WV,219614,57015
860,Coffee County,TN,279600,59728
861,Gordon County,GA,252547,58954
862,Box Elder County,UT,429004,61498
863,Hawkins County,TN,217688,58043
864,Chisago County,MN,356921,57988
865,Carter County,TN,213451,56410
866,Scott County,KY,289173,59099
867,Marion County,WV,157601,55952
868,Cherokee County,SC,158885,56121
869,Hardin County,TX,214506,57811
870,Colbert County,AL,180013,58033
871,Pearl River County,MS,207892,57261
872,Whiteside County,IL,119524,54658
873,Taney County,MO,268330,56821
874,Iron County,UT,414040,62429
875,Lafayette County,MS,319606,57615
876,Eagle County,CO,1430730,55285
877,La Plata County,CO,667025,56607
878,Campbell County,VA,244645,55141
879,Waller County,TX,349445,61894
880,Hancock County,ME,406836,56701
881,Lenoir County,NC,132255,54633
882,Tuolumne County,CA,394734,54531
883,Seneca County,OH,153345,54632
884,Franklin County,VA,316530,55074
885,Grady County,OK,212107,56658
886,Saline County,KS,168041,53596
887,Jefferson County,TN,300144,56727
888,Loudon County,TN,399932,58181
889,Camden County,GA,282438,57013
890,Watauga County,NC,493594,55089
891,Washington County,VA,238981,53958
892,Dickson County,TN,334977,55761
893,Johnson County,MO,263350,54368
894,Jackson County,IL,106089,52617
895,Boone County,IL,235981,53154
896,Fulton County,NY,194539,52669
897,Pulaski County,MO,200808,53941
898,Elko County,NV,332530,54046
899,Roane County,TN,270266,55082
900,Tuscola County,MI,161185,52945
901,Gila County,AZ,367792,53922
902,McMinn County,TN,230330,54719
903,Coffee County,AL,187080,54805
904,Jessamine County,KY,278217,54254
905,Ashland County,OH,211368,52181
906,Jackson County,AL,179021,52891
907,Rusk County,TX,195234,53333
908,Kerr County,TX,366000,53741
909,Washington County,OK,163100,53242
910,Columbia County,OR,434423,53588
911,Grundy County,IL,282937,53041
912,Worcester County,MD,435253,53866
913,Grant County,WI,192839,51276
914,Hoke County,NC,250431,53787
915,Calumet County,WI,332609,52718
916,Culpeper County,VA,428342,54381
917,Navarro County,TX,207859,54636
918,Warren County,IA,302898,54327
919,Darke County,OH,192264,51529
920,Ogle County,IL,193267,51351
921,Waupaca County,WI,231738,51488
922,Cass County,MI,242478,51403
923,Columbus County,NC,181706,49885
924,Oktibbeha County,MS,246835,51427
925,Franklin County,KY,210164,51607
926,Wayne County,PA,281582,51173
927,Henry County,VA,126328,49906
928,Madison County,ID,401143,54976
929,Venango County,PA,120866,49777
930,Bristol County,RI,563654,50360
931,Cherokee County,TX,213793,51645
932,Dearborn County,IN,291324,51138
933,Medina County,TX,299302,53723
934,Somerset County,ME,217647,51098
935,Gibson County,TN,160059,50837
936,Knox County,IL,93080,48640
937,Nye County,NV,323531,54738
938,Carroll County,NH,472992,52199
939,Lamar County,TX,193374,50484
940,Winona County,MN,247388,49478
941,Lincoln County,OR,485983,50813
942,Buffalo County,NE,271674,50586
943,Duplin County,NC,162859,48990
944,Franklin County,VT,351152,50731
945,Bedford County,TN,304133,51950
946,Newaygo County,MI,210698,50886
947,Edgecombe County,NC,143322,48301
948,Montgomery County,NY,184206,49623
949,Dale County,AL,150221,49544
950,Henry County,IL,143810,48419
951,Wilson County,TX,407250,52735
952,Polk County,TX,165732,53255
953,Halifax County,NC,84329,47848
954,Laurens County,GA,159974,49660
955,Douglas County,NV,659383,49628
956,Vernon Parish,LA,150068,47247
957,Fremont County,CO,327866,49621
958,Logan County,OK,274029,51933
959,Henry County,IN,160921,48915
960,Curry County,NM,153982,47532
961,Atascosa County,TX,248220,50864
962,Tioga County,NY,177909,47772
963,Le Flore County,OK,143170,48907
964,Burnet County,TX,458902,52502
965,Lincoln Parish,LA,204173,48129
966,Shelby County,OH,205877,47671
967,Crittenden County,AR,142899,47061
968,Whitman County,WA,373256,47619
969,Carter County,OK,164093,48510
970,Jackson County,FL,174715,48211
971,Boyd County,KY,111051,48110
972,Greene County,NY,336587,48061
973,Franklin County,NY,169493,46373
974,Val Verde County,TX,192578,47606
975,Bedford County,PA,193998,47418
976,Coles County,IL,115262,46334
977,Bingham County,ID,339100,49923
978,Shelby County,KY,284123,48886
979,Goodhue County,MN,310549,48013
980,Santa Cruz County,AZ,263397,48759
981,Chenango County,NY,149077,46458
982,Cherokee County,OK,188763,48098
983,Noble County,IN,220978,47367
984,Cortland County,NY,179735,46126
985,Campbell County,WY,312861,47058
986,Allegany County,NY,115057,46694
987,Clinton County,IA,163099,46344
988,Barron County,WI,255721,46843
989,Bonner County,ID,617222,51414
990,Nelson County,KY,235844,47392
991,Auglaize County,OH,201621,45948
992,Marshall County,IN,229098,46332
993,Mifflin County,PA,166108,45988
994,Osage County,OK,183800,45839
995,Monroe County,WI,228026,46109
996,Stevens County,WA,366000,48229
997,Monroe County,TN,257430,47740
998,Beltrami County,MN,244714,46799
999,Logan County,OH,219347,46040
1000,Jackson County,IN,207781,46300
1001,Hancock County,MS,232122,46094
1002,Perry County,PA,264622,46114
1003,Windham County,VT,368645,45842
1004,Bryan County,OK,219935,48182
1005,Colquitt County,GA,124276,45762
1006,Washington Parish,LA,125373,45025
1007,Habersham County,GA,269523,47475
1008,Hillsdale County,MI,197729,45762
1009,Thomas County,GA,196753,45561
1010,Greene County,AR,176209,46448
1011,Washington County,MS,70276,42514
1012,Hopkins County,KY,131834,44812
1013,Henderson County,KY,177633,44046
1014,Calaveras County,CA,444990,46563
1015,Caldwell County,TX,308736,47848
1016,Chambers County,TX,323396,51288
1017,Dunn County,WI,275392,45651
1018,Macoupin County,IL,115993,44245
1019,Warren County,MS,162804,42649
1020,Lawrence County,IN,187782,45222
1021,Itasca County,MN,226237,45205
1022,Chilton County,AL,210055,45884
1023,Shelby County,IN,220801,44991
1024,Stephenson County,IL,130932,43627
1025,Polk County,WI,300870,45709
1026,Beaufort County,NC,225881,44272
1027,Phelps County,MO,188324,45313
1028,Branch County,MI,186282,44531
1029,Delaware County,NY,228804,44740
1030,Wood County,TX,271737,46857
1031,Stokes County,NC,225492,45175
1032,McDowell County,NC,246825,44753
1033,Jefferson County,PA,105110,43794
1034,Huntingdon County,PA,180728,43281
1035,Callaway County,MO,218572,44762
1036,Barren County,KY,180115,44854
1037,Gadsden County,FL,184514,43403
1038,Shenandoah County,VA,306450,44968
1039,Holmes County,OH,323524,44390
1040,Siskiyou County,CA,289295,43660
1041,Kittitas County,WA,509936,45189
1042,Douglas County,WI,218855,44144
1043,Kay County,OK,102261,43668
1044,Lawrence County,TN,222701,45415
1045,Madison County,OH,280593,43540
1046,Baldwin County,GA,177390,43635
1047,Kendall County,TX,582369,48973
1048,Pittsburg County,OK,135130,43613
1049,Ravalli County,MT,551337,47298
1050,Brown County,OH,221341,43680
1051,Chesterfield County,SC,151024,43683
1052,Suwannee County,FL,259322,45411
1053,Kandiyohi County,MN,253686,43839
1054,Dubois County,IN,229432,43632
1055,Richmond County,NC,121924,42778
1056,Bryan County,GA,369989,48225
1057,Cerro Gordo County,IA,181061,42409
1058,Highland County,OH,181127,43391
1059,Muscatine County,IA,187590,42377
1060,Sullivan County,NH,335405,43958
1061,Union County,PA,258047,42744
1062,Camden County,MO,334251,43768
1063,Coffee County,GA,151738,43172
1064,Jackson County,NC,415128,42955
1065,Stephens County,OK,121963,43710
1066,Pettis County,MO,176668,43353
1067,Miller County,AR,160323,42552
1068,Fulton County,OH,207810,42171
1069,Polk County,GA,199366,43709
1070,Vance County,NC,171835,42138
1071,Douglas County,WA,464555,44192
1072,Ohio County,WV,140269,41447
1073,Davie County,NC,291049,44090
1074,Franklin County,TN,285803,43942
1075,Sweetwater County,WY,266188,41345
1076,Levy County,FL,289049,45260
1077,Montrose County,CO,411851,43811
1078,Butler County,MO,155036,42179
1079,Erath County,TX,292707,43895
1080,Prince George County,VA,316030,43134
1081,Pierce County,WI,333662,42532
1082,Summit County,UT,1391769,43036
1083,Mercer County,OH,238276,42348
1084,Clinton County,OH,218406,41964
1085,Okanogan County,WA,299910,43127
1086,Crawford County,OH,134448,41522
1087,Nez Perce County,ID,360981,43004
1088,Gratiot County,MI,153498,41100
1089,Marinette County,WI,175795,41988
1090,Wharton County,TX,194939,41824
1091,Fayette County,TN,352628,43630
1092,Baxter County,AR,211292,42435
1093,Tallapoosa County,AL,211281,40977
1094,Cooke County,TX,293472,43050
1095,McClain County,OK,269122,45306
1096,Tift County,GA,181262,41412
1097,Benton County,MN,276672,41463
1098,Fayette County,WV,111398,39487
1099,Tioga County,PA,200535,41106
1100,Preble County,OH,204321,40596
1101,Oconee County,GA,501666,43588
1102,Mississippi County,AR,86792,38896
1103,Cheatham County,TN,373054,41830
1104,Shawano County,WI,218772,40886
1105,Sanilac County,MI,188769,40657
1106,Warren County,TN,232896,42026
1107,Upshur County,TX,234010,42488
1108,Clatsop County,OR,530672,41695
1109,Delaware County,OK,246569,41413
1110,Wyoming County,NY,185497,39666
1111,McKean County,PA,104551,39866
1112,Tazewell County,VA,130009,39821
1113,Isanti County,MN,320478,42727
1114,Orleans County,NY,174600,39318
1115,Knox County,ME,413122,41164
1116,Ottawa County,OH,256530,39978
1117,Rio Arriba County,NM,298526,40048
1118,Warren County,VA,348290,41440
1119,Pike County,MS,100924,39644
1120,Pasquotank County,NC,229029,40938
1121,Marshall County,IA,152607,39879
1122,Amador County,CA,423328,41412
1123,Mecosta County,MI,198262,40720
1124,Mower County,MN,177888,40140
1125,Avoyelles Parish,LA,123529,38751
1126,Snyder County,PA,212216,39652
1127,Murray County,GA,217706,40472
1128,Howell County,MO,198396,40631
1129,Okeechobee County,FL,265926,40412
1130,Sequoyah County,OK,169379,39667
1131,Waldo County,ME,312182,40241
1132,Harrison County,IN,240180,39851
1133,Latah County,ID,433202,40978
1134,Hendry County,FL,271197,41339
1135,Fremont County,WY,310204,39472
1136,Wayne County,WV,123461,37998
1137,Campbell County,TN,218020,39584
1138,Mayes County,OK,197920,39589
1139,Union County,AR,116819,37752
1140,Jim Wells County,TX,128736,38826
1141,Dallas County,AL,70149,36767
1142,Des Moines County,IA,133370,38293
1143,Crawford County,KS,117686,39078
1144,Person County,NC,229426,39386
1145,Webster County,MO,247832,40335
1146,Susquehanna County,PA,207004,38074
1147,Warren County,PA,135577,37808
1148,Douglas County,MN,320446,39668
1149,Oconto County,WI,247857,39633
1150,Champaign County,OH,221334,38709
1151,Gloucester County,VA,336434,39493
1152,Guernsey County,OH,140144,38098
1153,Woodford County,IL,195862,38128
1154,Colleton County,SC,212580,38599
1155,Brown County,SD,212906,37972
1156,Williams County,ND,308191,38109
1157,Finney County,KS,228851,37650
1158,Defiance County,OH,167393,38187
1159,Isle of Wight County,VA,347604,40151
1160,Scott County,MO,139840,37840
1161,Graham County,AZ,260428,38779
1162,Lawrence County,MO,178860,38683
1163,Pontotoc County,OK,169411,38141
1164,Brown County,TX,178957,38373
1165,Franklin County,IL,83481,37242
1166,Montgomery County,IN,196590,38273
1167,Cass County,IN,142072,37540
1168,Natchitoches Parish,LA,169568,36663
1169,Newberry County,SC,219305,38247
1170,Clinton County,PA,178830,37931
1171,Independence County,AR,150257,37945
1172,Marion County,IL,96532,36914
1173,Jasper County,IA,199564,37938
1174,Clarion County,PA,120512,37346
1175,Talbot County,MD,462272,37932
1176,Essex County,NY,259825,36910
1177,Covington County,AL,137733,37602
1178,Houghton County,MI,151626,37035
1179,Oneida County,WI,283093,38212
1180,Boone County,AR,205854,38284
1181,Steele County,MN,268519,37398
1182,Jefferson County,IL,107578,36400
1183,Webster Parish,LA,121514,35643
1184,Albany County,WY,356039,38031
1185,Addison County,VT,422668,37578
1186,Calloway County,KY,87790,37685
1187,Dodge County,NE,218005,36997
1188,Bennington County,VT,367708,37392
1189,Yadkin County,NC,217542,37463
1190,Louisa County,VA,354748,40116
1191,Webster County,IA,134944,36626
1192,Green County,WI,277249,36816
1193,Chippewa County,MI,159474,36293
1194,Clinton County,IL,187341,36909
1195,Okmulgee County,OK,114726,36990
1196,Williams County,OH,161068,36652
1197,Dyer County,TN,150810,36410
1198,Escambia County,AL,145166,36666
1199,Putnam County,IN,238942,37301
1200,Delta County,MI,160398,36741
1201,Graves County,KY,136434,36412
1202,Dare County,NC,596386,37956
1203,Clark County,KY,225956,37061
1204,Hopkins County,TX,262386,37804
1205,McLeod County,MN,276115,36714
1206,Coshocton County,OH,155255,36571
1207,Whitley County,KY,115869,36873
1208,Huntington County,IN,178919,36834
1209,Macon County,NC,330603,38065
1210,Wise County,VA,115220,35421
1211,Sagadahoc County,ME,389623,37393
1212,Monroe County,IL,280369,35033
1213,Geary County,KS,178127,35691
1214,Alexander County,NC,230445,36512
1215,Beauregard Parish,LA,162422,36570
1216,Knox County,IN,134037,35789
1217,Matagorda County,TX,199546,36125
1218,Greene County,PA,141803,34663
1219,Scotts Bluff County,NE,173299,35603
1220,Carlton County,MN,264312,36708
1221,Floyd County,KY,73945,34978
1222,Miami County,IN,136532,35674
1223,Ware County,GA,119465,35614
1224,Orange County,VA,338157,37991
1225,Greenup County,KY,130631,35403
1226,Livingston County,IL,135730,35521
1227,Laclede County,MO,209589,36313
1228,Cocke County,TN,210467,36879
1229,Hill County,TX,207401,37329
1230,Adams County,IN,209368,36068
1231,Sioux County,IA,262062,36050
1232,Washington County,TX,331733,36159
1233,Madison County,NE,221986,35368
1234,Uintah County,UT,324362,37141
1235,Fannin County,TX,255755,37125
1236,Perry County,OH,201432,35480
1237,Wapello County,IA,115168,35043
1238,Lincoln County,ME,424552,36215
1239,Lincoln County,TN,235338,36004
1240,Warren County,MO,297109,37260
1241,Silver Bow County,MT,267456,36068
1242,Becker County,MN,347455,35371
1243,Alcorn County,MS,144770,34204
1244,Lincoln County,MS,171950,34717
1245,Lincoln County,NE,192424,33685
1246,Morrow County,OH,248161,35339
1247,Chambers County,AL,120327,34088
1248,Cowley County,KS,108677,34453
1249,Clark County,WI,180702,34691
1250,Barry County,MO,219325,34926
1251,Howard County,TX,140144,33672
1252,Effingham County,IL,216297,34325
1253,Monroe County,MS,140010,33577
1254,Ford County,KS,189937,33848
1255,Putnam County,OH,224303,34334
1256,Steuben County,IN,292094,34725
1257,Lee County,IL,155028,33848
1258,Scotland County,NC,129521,34162
1259,Taos County,NM,453337,34580
1260,Harris County,GA,324985,36276
1261,Brookings County,SD,276341,35484
1262,Nicollet County,MN,289838,34441
1263,Preston County,WV,162739,34172
1264,Halifax County,VA,125976,33644
1265,Platte County,NE,254262,34296
1266,Whitley County,IN,252473,34627
1267,Christian County,IL,102915,33436
1268,Marshall County,MS,180341,34110
1269,Wasatch County,UT,870244,36619
1270,Fulton County,IL,93406,33021
1271,Harvey County,KS,167471,33801
1272,Miami County,KS,338319,34867
1273,Emmet County,MI,367603,34163
1274,Marshall County,TN,310490,35878
1275,Seneca County,NY,192618,32882
1276,Pulaski County,VA,197509,33706
1277,Morrison County,MN,282642,34246
1278,Lee County,IA,111572,32840
1279,Lincoln County,OK,163144,34188
1280,Wexford County,MI,189476,34196
1281,Botetourt County,VA,285197,34135
1282,Accomack County,VA,212836,33191
1283,Marion County,IA,233050,33642
1284,Jasper County,TX,173919,32484
1285,Bureau County,IL,120590,32828
1286,Greenbrier County,WV,175585,32435
1287,Panola County,MS,155139,32661
1288,Daviess County,IN,208131,33418
1289,Caroline County,MD,297899,33433
1290,Morgan County,IL,116422,32209
1291,Lumpkin County,GA,348133,34796
1292,Pike County,AL,159638,33014
1293,Wakulla County,FL,292161,35178
1294,Hot Spring County,AR,146964,33203
1295,Lawrence County,AL,195583,33214
1296,Gibson County,IN,183866,32993
1297,Clinton County,IN,183774,32843
1298,Jasper County,IN,259543,33281
1299,Jefferson County,IN,205101,32946
1300,Transylvania County,NC,441240,33355
1301,Lassen County,CA,230079,29904
1302,Weakley County,TN,163487,33063
1303,Morton County,ND,287729,33710
1304,Hale County,TX,113361,31827
1305,Pickens County,GA,360793,34826
1306,Logan County,WV,90136,31316
1307,Lafayette County,MO,209266,32961
1308,Rhea County,TN,229985,33730
1309,Stark County,ND,273771,32803
1310,Jefferson County,WA,613306,33589
1311,Lee County,GA,239024,33642
1312,Evangeline Parish,LA,112419,31986
1313,Jackson County,OH,125391,32586
1314,Dorchester County,MD,248246,32726
1315,Lyon County,KS,154339,31898
1316,Henry County,TN,186287,32379
1317,Chester County,SC,204575,31931
1318,Jefferson Davis Parish,LA,128301,32026
1319,Franklin County,AL,153467,31932
1320,Claiborne County,TN,203084,32431
1321,Montgomery County,KS,80045,30996
1322,Marshall County,KY,156161,31777
1323,Clarendon County,SC,170545,30913
1324,Huron County,MI,173351,31248
1325,Polk County,MO,246003,32693
1326,Amherst County,VA,234466,31589
1327,Coos County,NH,230136,31504
1328,Titus County,TX,222641,31208
1329,Malheur County,OR,273757,31879
1330,Polk County,MN,226369,30731
1331,Bolivar County,MS,128233,29370
1332,Adams County,NE,187065,30970
1333,Williamsburg County,SC,111564,30058
1334,Bee County,TX,147348,30394
1335,Gilmer County,GA,390390,32407
1336,Pontotoc County,MS,177901,31389
1337,Delta County,CO,377111,31602
1338,Wabash County,IN,163380,30828
1339,McCurtain County,OK,191152,30931
1340,Summit County,CO,1363180,30565
1341,Elk County,PA,115561,30477
1342,Lake County,MT,570672,32853
1343,Stone County,MO,341274,32136
1344,Kleberg County,TX,132705,30362
1345,Muhlenberg County,KY,118029,30455
1346,Washington County,ME,204744,31437
1347,Greene County,IN,175409,31006
1348,Freeborn County,MN,173092,30718
1349,Caroline County,VA,297858,31957
1350,Clare County,MI,129504,31352
1351,Marshall County,WV,123181,29752
1352,Sheridan County,WY,411044,32096
1353,Hardin County,OH,163614,30416
1354,Obion County,TN,140108,30394
1355,Vernon County,WI,221586,31060
1356,Iberville Parish,LA,161923,29506
1357,Randolph County,IL,124298,30068
1358,Ottawa County,OK,112371,30338
1359,Trempealeau County,WI,243464,30899
1360,Boyle County,KY,208217,30904
1361,Jefferson County,ID,437872,33428
1362,Caledonia County,VT,276824,30579
1363,Knox County,KY,132377,29791
1364,Mecklenburg County,VA,179834,30508
1365,Giles County,TN,240275,30554
1366,Austin County,TX,354803,31097
1367,Wayne County,GA,183549,30896
1368,Bladen County,NC,133886,29446
1369,McPherson County,KS,200748,30012
1370,Powhatan County,VA,416934,31489
1371,Smyth County,VA,142403,29449
1372,Schoharie County,NY,220207,30063
1373,Adams County,MS,117744,28408
1374,Cass County,MN,323107,31274
1375,Madison County,GA,283890,31473
1376,Meade County,KY,245784,30001
1377,Door County,WI,392807,30526
1378,Sumter County,GA,114416,28877
1379,Haralson County,GA,242566,31337
1380,Park County,WY,439807,30518
1381,Marion County,SC,80307,28450
1382,Meade County,SD,353182,30698
1383,Franklin County,ME,263086,30474
1384,Hancock County,WV,129022,28172
1385,Marion County,AL,140693,29156
1386,Gallia County,OH,145043,29068
1387,Orange County,VT,322291,29846
1388,Neshoba County,MS,135449,28673
1389,Carroll County,VA,163010,29147
1390,Mason County,MI,225296,29409
1391,Decatur County,GA,156562,28982
1392,Pine County,MN,267476,29446
1393,Garrett County,MD,317111,28579
1394,Ripley County,IN,248956,29087
1395,Alpena County,MI,161671,28847
1396,Fayette County,OH,200770,28839
1397,Ellis County,KS,220771,28941
1398,Grimes County,TX,295351,30754
1399,Morgan County,CO,323048,29239
1400,Stoddard County,MO,132406,28377
1401,Van Wert County,OH,159695,28769
1402,Cass County,TX,151284,28539
1403,Marion County,TN,222659,29094
1404,Glenn County,CA,349918,28339
1405,Dunklin County,MO,79722,27406
1406,Le Sueur County,MN,323446,29153
1407,Custer County,OK,152866,27886
1408,Marion County,MO,161550,28438
1409,Leflore County,MS,78098,26570
1410,Dillon County,SC,88932,27738
1411,Cherokee County,NC,283020,29512
1412,Montgomery County,IL,104074,28020
1413,Jasper County,SC,379582,32039
1414,Sanpete County,UT,352704,29724
1415,Copiah County,MS,112988,27719
1416,Perry County,KY,76108,27361
1417,Elmore County,ID,335941,29403
1418,Lincoln County,WI,205255,28376
1419,Carroll County,TN,157005,28458
1420,Wythe County,VA,188118,28111
1421,Palo Pinto County,TX,236293,29239
1422,Jones County,GA,227870,28472
1423,Codington County,SD,302975,28721
1424,Logan County,IL,117897,27591
1425,Hocking County,OH,236446,27858
1426,Grant County,NM,186432,27686
1427,Carroll County,AR,239510,28742
1428,Randolph County,WV,143526,27600
1429,Tate County,MS,213726,28296
1430,Wells County,IN,213970,28335
1431,Montgomery County,KY,191773,28367
1432,Scott County,MS,103848,27707
1433,Dinwiddie County,VA,264380,28161
1434,Washington County,IN,196527,28224
1435,Jackson County,WV,176234,27716
1436,Monroe County,GA,293209,29427
1437,Baker County,FL,298161,27803
1438,Bradford County,FL,229520,27313
1439,Yazoo County,MS,94633,25948
1440,White County,GA,317954,28806
1441,Peach County,GA,214322,28562
1442,Henderson County,TN,186141,27929
1443,Union County,MS,171044,28125
1444,McDonough County,IL,86074,26861
1445,Del Norte County,CA,351606,27082
1446,Jennings County,IN,197982,27536
1447,Henry County,OH,174730,27512
1448,Currituck County,NC,512560,31015
1449,Upson County,GA,163972,28086
1450,Adams County,OH,159648,27420
1451,San Jacinto County,TX,223752,28348
1452,Iroquois County,IL,126784,26473
1453,San Miguel County,NM,206224,26953
1454,Logan County,KY,186457,27877
1455,Orleans County,VT,270933,27666
1456,Union County,SC,103560,26752
1457,Cibola County,NM,165387,26950
1458,Pike County,OH,157683,27005
1459,Caddo County,OK,83435,26198
1460,White County,TN,242403,28064
1461,Tillamook County,OR,518920,27574
1462,Fluvanna County,VA,336593,28159
1463,West Baton Rouge Parish,LA,241834,28034
1464,Woodford County,KY,300552,27062
1465,Mineral County,WV,172777,26855
1466,Toombs County,GA,154344,26837
1467,Harlan County,KY,63853,25662
1468,Marlboro County,SC,82063,26039
1469,Carroll County,OH,195043,26659
1470,Carter County,KY,122517,26395
1471,De Soto Parish,LA,142420,26853
1472,Gillespie County,TX,528678,27477
1473,Hardin County,TN,185261,27077
1474,Boone County,IA,210811,26609
1475,Lewis County,NY,182857,26699
1476,Stephens County,GA,204132,26767
1477,Juneau County,WI,210303,26866
1478,Geneva County,AL,142385,26783
1479,Wasco County,OR,381127,26561
1480,Ashe County,NC,329331,27110
1481,King George County,VA,426648,27856
1482,Oceana County,MI,219423,26973
1483,Cass County,NE,294675,27122
1484,Decatur County,IN,219187,26416
1485,Clay County,IN,162857,26379
1486,Mille Lacs County,MN,283562,27280
1487,Wyoming County,PA,213311,26014
1488,Grayson County,KY,177667,26631
1489,Sunflower County,MS,99024,24811
1490,Union County,OR,302170,26177
1491,Dawson County,GA,425551,30138
1492,Charlevoix County,MI,343455,26293
1493,Grady County,GA,168741,26008
1494,Simpson County,MS,134506,25587
1495,Dickinson County,MI,151187,25874
1496,Franklin County,KS,216833,25992
1497,Garvin County,OK,128765,25713
1498,Taylor County,KY,176988,26407
1499,Edgefield County,SC,250567,26932
1500,Russell County,VA,127604,25448
1501,McNairy County,TN,155397,25988
1502,Montezuma County,CO,358170,26468
1503,Elbert County,CO,676402,27799
1504,Brown County,MN,209090,25723
1505,Montgomery County,NC,212729,25894
1506,Lamoille County,VT,450279,26090
1507,Johnson County,AR,161498,26001
1508,Morehouse Parish,LA,78915,24446
1509,Hart County,GA,296771,26909
1510,Barton County,KS,103850,25080
1511,Lawrence County,SD,411566,27214
1512,Mason County,WV,132171,25000
1513,Cheboygan County,MI,219004,25940
1514,Benton County,IA,217358,25711
1515,Hardee County,FL,205830,25645
1516,Hardeman County,TN,143979,25529
1517,Plymouth County,IA,252836,25681
1518,Lyon County,MN,198121,25262
1519,Lauderdale County,TN,132554,24793
1520,Gladwin County,MI,158052,25728
1521,Adair County,MO,171873,25165
1522,Posey County,IN,213987,25063
1523,Luna County,NM,128694,25749
1524,Iosco County,MI,150198,25521
1525,Barbour County,AL,139347,24706
1526,Audrain County,MO,145545,24434
1527,Pottawatomie County,KS,280494,26273
1528,Todd County,MN,245323,25538
1529,Fannin County,GA,463451,25737
1530,Churchill County,NV,350706,25843
1531,Prentiss County,MS,129604,24792
1532,Otsego County,MI,228640,25644
1533,Cherokee County,AL,213542,25302
1534,Jackson County,OK,99648,24556
1535,Macon County,TN,240233,26229
1536,Butts County,GA,269769,26649
1537,Manistee County,MI,216885,25287
1538,Payette County,ID,381088,26956
1539,Grant County,KY,230694,25502
1540,Uvalde County,TX,174321,24940
1541,Washington County,FL,209180,25414
1542,Routt County,CO,1232011,25007
1543,Chattooga County,GA,158068,24936
1544,Milam County,TX,226238,25628
1545,Randolph County,MO,151444,24622
1546,Texas County,MO,187108,25336
1547,Bremer County,IA,235676,25259
1548,Hickman County,TN,142865,25455
1549,Cleburne County,AR,237960,25284
1550,Somerset County,MD,186212,24546
1551,Yates County,NY,274357,24451
1552,Nicholas County,WV,123946,24335
1553,Randolph County,IN,132314,24437
1554,Bell County,KY,75655,23568
1555,Rowan County,KY,151773,24388
1556,Miller County,MO,232749,25403
1557,Marion County,MS,125761,24050
1558,Teller County,CO,483583,24857
1559,White County,IN,194643,24598
1560,Waushara County,WI,233822,24999
1561,Cassia County,ID,327803,25655
1562,Fayette County,TX,437193,24913
1563,Abbeville County,SC,188333,24356
1564,Lincoln County,KY,173740,24360
1565,Crook County,OR,443819,26375
1566,Goochland County,VA,484062,26109
1567,Scott County,IN,182968,24588
1568,George County,MS,185830,25206
1569,Shelby County,TX,178328,24008
1570,Jefferson County,OR,407673,25330
1571,Burke County,GA,139741,24388
1572,Union County,GA,360029,26388
1573,Aransas County,TX,336029,24944
1574,Jerome County,ID,366246,25311
1575,Dawson County,NE,178478,23884
1576,Upshur County,WV,147723,23712
1577,Hood River County,OR,679594,24048
1578,Saline County,IL,70707,23087
1579,Blaine County,ID,1109686,24866
1580,Itawamba County,MS,144448,23903
1581,Ohio County,KY,132572,23527
1582,Mingo County,WV,60998,22573
1583,Seminole County,OK,100520,23351
1584,Washington County,MO,159693,23441
1585,Page County,VA,264203,23750
1586,Iowa County,WI,280561,23865
1587,Winston County,AL,190693,23755
1588,Juniata County,PA,211340,23339
1589,Plaquemines Parish,LA,290018,22516
1590,Menominee County,MI,157737,23266
